Episodic reward,Step
104.0,43086
66.0,43152
72.0,43224
30.0,43254
39.0,43296
134.0,43428
123.0,43548
40.0,43590
62.0,43650
27.0,43680
93.0,43770
128.0,43902
32.0,43932
78.0,44010
94.0,44106
80.0,44184
53.0,44238
168.0,44406
144.0,44550
34.0,44586
49.0,44634
105.0,44736
57.0,44796
78.0,44874
24.0,44898
49.0,44946
85.0,45030
41.0,45072
53.0,45126
35.0,45162
29.0,45186
90.0,45276
47.0,45324
60.0,45384
51.0,45438
68.0,45504
42.0,45546
44.0,45588
103.0,45696
67.0,45762
84.0,45846
79.0,45924
29.0,45954
65.0,46020
77.0,46092
59.0,46152
48.0,46200
53.0,46254
63.0,46320
46.0,46362
36.0,46398
117.0,46518
47.0,46566
41.0,46602
13.0,46620
92.0,46710
39.0,46746
78.0,46824
71.0,46896
61.0,46956
45.0,47004
32.0,47034
48.0,47082
39.0,47124
41.0,47166
77.0,47238
95.0,47334
17.0,47352
44.0,47394
25.0,47424
16.0,47436
57.0,47496
39.0,47532
33.0,47568
60.0,47628
116.0,47742
38.0,47778
189.0,47970
21.0,47988
48.0,48036
59.0,48096
50.0,48150
121.0,48270
40.0,48306
176.0,48486
102.0,48588
79.0,48666
49.0,48714
128.0,48840
55.0,48900
61.0,48960
54.0,49014
48.0,49062
46.0,49104
79.0,49188
56.0,49242
100.0,49344
113.0,49452
112.0,49566
151.0,49716
84.0,49800
76.0,49878
84.0,49962
191.0,50154
112.0,50262
92.0,50358
54.0,50412
89.0,50502
44.0,50544
52.0,50598
142.0,50736
50.0,50790
140.0,50928
60.0,50988
42.0,51030
36.0,51066
36.0,51102
46.0,51150
113.0,51258
33.0,51294
37.0,51330
38.0,51366
83.0,51450
19.0,51468
128.0,51600
61.0,51660
74.0,51732
32.0,51768
19.0,51786
39.0,51822
94.0,51918
68.0,51984
43.0,52026
59.0,52086
57.0,52146
69.0,52212
45.0,52260
37.0,52296
154.0,52452
125.0,52572
107.0,52680
49.0,52728
26.0,52758
64.0,52818
57.0,52878
36.0,52914
156.0,53070
23.0,53094
43.0,53136
45.0,53178
123.0,53304
129.0,53430
59.0,53490
29.0,53520
45.0,53568
26.0,53592
41.0,53634
100.0,53730
47.0,53778
45.0,53826
33.0,53856
56.0,53916
29.0,53940
20.0,53964
16.0,53976
86.0,54066
59.0,54126
25.0,54150
111.0,54258
79.0,54336
149.0,54486
161.0,54648
39.0,54690
165.0,54852
59.0,54912
38.0,54948
68.0,55020
146.0,55164
58.0,55224
100.0,55320
